Sentence #,Word,Tag
Sentence: 1,همزمان,O
,با,O
,آغاز,O
,فعالیت,O
,نمایشگاه,O
,کتاب,O
,در,O
,محل,O
,جدید,O
,شهر,B_LOC
,آفتاب,I_LOC
,؛,O
,معاونت,B_ORG
,اجتماعی,I_ORG
,وفرهنگی,I_ORG
,شهرداری,I_ORG
,منطقه,I_ORG
,11,I_ORG
,از,O
,علاقمندان,O
,برای,O
,حضور,O
,در,O
,نمایشگاه,O
,ثبت نام,O
,به,O
,عمل,O
,می آورد,O
,.,O
Sentence: 2,به,O
,گزارش,O
,سرویس,O
,شهری,O
,ایسنا,B_ORG
,،,O
,با,O
,توجه,O
,به,O
,این,O
,که,O
,امسال,B_DAT
,برای,O
,نخستین,O
,بار,O
,نمایشگاه,O
,کتاب,O
,در,O
,محل,O
,جدید,O
,نمایشگاه ها,O
,در,O
,"""",O
,شهر,B_LOC
,آفتاب,I_LOC
,"""",O
,واقع,O
,درمسیر,O
,اتوبان,B_LOC
,تهران,I_LOC
,قم,I_LOC
,در,O
,مجاورت,O
,مرقد,B_LOC
,مطهر,I_LOC
,امام,I_LOC
,خمینی,I_LOC
,(ره),I_LOC
,برگزار,O
,خواهد,O
,شد,O
,؛,O
,به,O
,منظور,O
,تسهیل,O
,آمد,O
,و,O
,شد,O
,علاقمندان,O
,به,O
,بازدید,O
,و,O
,خرید,O
,از,O
,نمایشگاه,O
,کتاب,O
,تور,O
,گردشگری,O
,علمی,O
,از,O
,سوی,O
,معاونت,B_ORG
,اجتماعی,I_ORG
,و,I_ORG
,فرهنگی,I_ORG
,این,O
,منطقه,O
,برای,O
,تمام,O
,علاقمندان,O
,دایر,O
,شده,O
,است,O
,.,O
Sentence: 3,افرادی,O
,که,O
,در,O
,این,O
,تورها,O
,ثبت نام,O
,کنند,O
,علاوه,O
,بر,O
,خدمات,O
,رایگان,O
,رفت و آمد,O
,؛,O
,بن های,O
,تخفیف,O
,خرید,O
,کتاب,O
,از,O
,نمایشگاه,O
,و,O
,پذیرایی,O
,نیز,O
,در,O
,اختیارشان,O
,قرار,O
,می گیرد,O
,.,O
Sentence: 4,بر,O
,اساس,O
,گزارش,O
,روابط,B_ORG
,عمومی,I_ORG
,شهرداری,I_ORG
,منطقه,I_ORG
,11,I_ORG
,،,O
,علاقمندان,O
,ساکن,O
,در,O
,محدوده,O
,منطقه,B_LOC
,11,I_LOC
,برای,O
,ثبت نام,O
,و,O
,کسب,O
,اطلاعات,O
,بیشتر,O
,می توانند,O
,تا,O
,روز,O
,دوشنبه,B_DAT
,13,I_DAT
,اردیبهشت,I_DAT
,به,O
,نزدیکترین,O
,سرای,O
,محله,O
,محل,O
,سکونت,O
,خود,O
,و,O
,یا,O
,نشانی,O
,www.region.tehran.ir,O
,مراجعه,O
,نمایند,O
,.,O
,«,O
,از,O
,پاییز,O
,...,O
,»,O
,(,O
,زنجیره ای,O
,از,O
,شعرهای,O
,پاییزی,O
,از,O
,سروده های,O
,کهن,O
,تا,O
,امروزین,O
,در,O
,قالب های,O
,گونه گون,O
,),O
,به,O
,گزینش,O
,پوران,B_PER
,فرخ زاد,I_PER
,منتشر,O
,شد,O
,.,O
Sentence: 5,به,O
,گزارش,O
,خبرنگار,O
,ادبیات,O
,و,O
,کتاب,O
,ایسنا,B_ORG
,،,O
,این,O
,کتاب,O
,با,O
,یادداشت,O
,و,O
,درنگی,O
,در,O
,چیستی,O
,پاییز,O
,و,O
,چونی,O
,خزان,O
,به,O
,قلم,O
,فرخ زاد,B_PER
,آغاز,O
,می شود,O
,و,O
,در,O
,ادامه,O
,با,O
,بخش های,O
,از,O
,کهن ها,O
,،,O
,از,O
,غزل ها,O
,،,O
,از,O
,رباعی ها,O
,،,O
,از,O
,چهارپاره ها,O
,،,O
,از,O
,ترانه ها,O
,،,O
,از,O
,گسسته ها,O
,،,O
,از,O
,سپیدها,O
,،,O
,از,O
,مثنوی ها,O
,،,O
,از,O
,مستزاد,O
,،,O
,از,O
,مخمس ها,O
,و,O
,از,O
,بازگردانی ها,O
,همراه,O
,است,O
,.,O
Sentence: 6,در,O
,یادداشت,O
,ابتدایی,O
,کتاب,O
,آمده,O
,است,O
,:,O
,از,O
,همان,O
,آغاز,O
,کار,O
,برایم,O
,هیچ,O
,اهمیت,O
,نداشت,O
,که,O
,شاعر,O
,یکی,O
,از,O
,آثار,O
,انتخابی,O
,نام آشنا,O
,باشد,O
,یا,O
,گمنام,O
,و,O
,جویای,O
,نام,O
,،,O
,کتابی,O
,چاپ,O
,کرده,O
,باشد,O
,یا,O
,این,O
,که,O
,تنها,O
,یکی,O
,دو,O
,شعر,O
,در,O
,نشریات,O
,چاپ,O
,کرده,O
,باشد,O
,،,O
,خوب,O
,،,O
,متوسط,O
,یا,O
,بد,O
,،,O
,نوپرداز,O
,یا,O
,کهنه گو,O
,،,O
,یا,O
,حتی,O
,شیوه,O
,ارایه,O
,آن,O
,،,O
,هیچ,O
,کدام,O
,مهم,O
,نبودند,O
,،,O
,تنها,O
,احساس,O
,،,O
,خیال بندی,O
,و,O
,نوع,O
,نگاه,O
,به,O
,پاییز,O
,را,O
,در,O
,نظر,O
,داشتم,O
,،,O
,از,O
,گذشته,O
,تا,O
,حال,O
,،,O
,به,O
,این,O
,بخش,O
,از,O
,سال,O
,در,O
,گذر,O
,زمان,O
,و,O
,تاثیری,O
,که,O
,برگ ریزان,O
,پاییز,O
,که,O
,به راستی,O
,جادویی ترین,O
